Code postal;Commune;Region
8914;Aeugst am Albis;3
8914;Aeugst am Albis;3
8909;Affoltern am Albis;3
8910;Affoltern am Albis;3
8906;Bonstetten;3
6340;Hausen am Albis;3
8915;Hausen am Albis;3
8925;Hausen am Albis;3
8908;Hedingen;3
8926;Kappel am Albis;3
8926;Kappel am Albis;3
8926;Kappel am Albis;3
8934;Knonau;3
8933;Maschwanden;3
8932;Mettmenstetten;3
8910;Obfelden;3
8912;Obfelden;3
8913;Ottenbach;3
8911;Rifferswil;3
8134;Stallikon;3
8143;Stallikon;3
8143;Stallikon;3
8907;Wettswil am Albis;3
8463;Benken (ZH);3
8415;Berg am Irchel;3
8415;Berg am Irchel;3
8414;Buch am Irchel;3
8447;Dachsen;3
8458;Dorf;3
8245;Feuerthalen;3
8246;Feuerthalen;3
8416;Flaach;3
8247;Flurlingen;3
8444;Henggart;3
8451;Kleinandelfingen;3
8453;Kleinandelfingen;3
8461;Kleinandelfingen;3
8212;Laufen-Uhwiesen;3
8248;Laufen-Uhwiesen;3
8447;Laufen-Uhwiesen;3
8460;Marthalen;3
8464;Marthalen;3
8466;Ossingen;3
8475;Ossingen;3
8462;Rheinau;3
8464;Rheinau;3
8478;Thalheim an der Thur;3
8465;Trüllikon;3
8465;Trüllikon;3
8466;Trüllikon;3
8467;Truttikon;3
8459;Volken;3
8180;Bachenbülach;3
8184;Bachenbülach;3
8303;Bassersdorf;3
8180;Bülach;3
8192;Bülach;3
8305;Dietlikon;2
8600;Dietlikon;2
8193;Eglisau;3
8197;Eglisau;3
8424;Embrach;3
8427;Freienstein-Teufen;3
8428;Freienstein-Teufen;3
8192;Glattfelden;3
8192;Glattfelden;3
8193;Glattfelden;3
8182;Hochfelden;3
8192;Hochfelden;3
8181;Höri;3
8194;Hüntwangen;3
8302;Kloten;2
8309;Kloten;2
8426;Lufingen;3
8309;Nürensdorf;3
8425;Oberembrach;3
8052;Opfikon;2
8152;Opfikon;2
8152;Opfikon;2
8152;Opfikon;2
8197;Rafz;3
8427;Rorbas;3
8428;Rorbas;3
8304;Wallisellen;2
8195;Wasterkingen;3
8196;Wasterkingen;3
8196;Wil (ZH);3
8197;Wil (ZH);3
8180;Winkel;3
8185;Winkel;3
8164;Bachs;3
8113;Boppelsen;3
8158;Boppelsen;3
8107;Buchs (ZH);3
8108;Dällikon;3
8114;Dänikon;3
8157;Dielsdorf;3
8115;Hüttikon;3
8162;Neerach;3
8164;Neerach;3
8173;Neerach;3
8174;Neerach;3
8155;Niederglatt;3
8172;Niederglatt;3
8155;Niederhasli;3
8155;Niederhasli;3
8156;Niederhasli;3
8166;Niederweningen;3
8154;Oberglatt;3
5462;Oberweningen;3
8165;Oberweningen;3
8107;Otelfingen;3
8112;Otelfingen;3
8158;Regensberg;3
8105;Regensdorf;2
8105;Regensdorf;2
8106;Regensdorf;2
8052;Rümlang;2
8152;Rümlang;2
8153;Rümlang;2
8165;Schleinikon;3
8165;Schöfflisdorf;3
8174;Stadel;3
8175;Stadel;3
8155;Steinmaur;3
8162;Steinmaur;3
8162;Steinmaur;3
8187;Weiach;3
8340;Bäretswil;3
8344;Bäretswil;3
8345;Bäretswil;3
8498;Bäretswil;3
8608;Bubikon;3
8633;Bubikon;3
8340;Dürnten;3
8608;Dürnten;3
8630;Dürnten;3
8632;Dürnten;3
8635;Dürnten;3
8636;Dürnten;3
8340;Fischenthal;3
8494;Fischenthal;3
8496;Fischenthal;3
8497;Fischenthal;3
8498;Fischenthal;3
8614;Gossau (ZH);3
8617;Gossau (ZH);3
8624;Gossau (ZH);3
8625;Gossau (ZH);3
8626;Gossau (ZH);3
8627;Gossau (ZH);3
8627;Grüningen;3
8340;Hinwil;3
8342;Hinwil;3
8498;Hinwil;3
8630;Rüti (ZH);3
8636;Rüti (ZH);3
8607;Seegräben;3
8497;Wald (ZH);3
8636;Wald (ZH);3
8637;Wald (ZH);3
8345;Wetzikon (ZH);3
8620;Wetzikon (ZH);3
8623;Wetzikon (ZH);3
8041;Adliswil;2
8134;Adliswil;2
8802;Kilchberg (ZH);2
8803;Kilchberg (ZH);2
8135;Langnau am Albis;3
8942;Oberrieden;3
8805;Richterswil;2
8833;Richterswil;2
8803;Rüschlikon;3
8136;Thalwil;2
8800;Thalwil;2
8703;Erlenbach (ZH);2
8703;Herrliberg;2
8704;Herrliberg;2
8627;Hombrechtikon;2
8634;Hombrechtikon;2
8714;Hombrechtikon;2
8127;Küsnacht (ZH);2
8700;Küsnacht (ZH);2
8618;Männedorf;2
8708;Männedorf;2
8706;Meilen;2
8618;Oetwil am See;2
8634;Stäfa;2
8712;Stäfa;2
8713;Stäfa;2
8707;Uetikon am See;2
8126;Zumikon;2
8125;Zollikon;2
8702;Zollikon;2
8308;Fehraltorf;3
8320;Fehraltorf;3
8335;Hittnau;3
8310;Lindau;3
8310;Lindau;3
8312;Lindau;3
8315;Lindau;3
8317;Lindau;3
8330;Pfäffikon;3
8331;Pfäffikon;3
8623;Pfäffikon;3
8322;Russikon;3
8322;Russikon;3
8332;Russikon;3
8332;Russikon;3
8308;Weisslingen;3
8484;Weisslingen;3
8484;Weisslingen;3
8484;Weisslingen;3
8486;Weisslingen;3
8492;Wila;3
8493;Wila;3
8322;Wildberg;3
8488;Wildberg;3
8489;Wildberg;3
8489;Wildberg;3
8489;Wildberg;3
8044;Dübendorf;2
8051;Dübendorf;2
8600;Dübendorf;2
8603;Dübendorf;2
8127;Egg;2
8132;Egg;2
8132;Egg;2
8133;Egg;2
8117;Fällanden;2
8118;Fällanden;2
8121;Fällanden;2
8606;Greifensee;2
8122;Maur;2
8123;Maur;2
8124;Maur;2
8127;Maur;2
8132;Maur;2
8607;Mönchaltorf;2
8617;Mönchaltorf;2
8600;Schwerzenbach;2
8603;Schwerzenbach;2
8605;Uster;2
8606;Uster;2
8610;Uster;2
8614;Uster;2
8615;Uster;2
8615;Uster;2
8616;Uster;2
8617;Uster;2
8307;Volketswil;2
8604;Volketswil;2
8605;Volketswil;2
8306;Wangen-Brüttisellen;2
8602;Wangen-Brüttisellen;2
8479;Altikon;3
8311;Brütten;3
8471;Dägerlen;3
8471;Dägerlen;3
8471;Dägerlen;3
8471;Dägerlen;3
8471;Dägerlen;3
8421;Dättlikon;3
8474;Dinhard;3
8548;Ellikon an der Thur;3
8352;Elsau;3
8500;Hagenbuch;3
8523;Hagenbuch;3
8442;Hettlingen;3
8412;Neftenbach;3
8412;Neftenbach;3
8412;Neftenbach;3
8413;Neftenbach;3
8422;Pfungen;3
8545;Rickenbach (ZH);3
8545;Rickenbach (ZH);3
8354;Schlatt (ZH);3
8405;Schlatt (ZH);3
8418;Schlatt (ZH);3
8472;Seuzach;3
8363;Turbenthal;3
8488;Turbenthal;3
8492;Turbenthal;3
8495;Turbenthal;3
8310;Winterthur;2
8352;Winterthur;2
8400;Winterthur;2
8404;Winterthur;2
8404;Winterthur;2
8404;Winterthur;2
8405;Winterthur;2
8406;Winterthur;2
8408;Winterthur;2
8409;Winterthur;2
8482;Winterthur;2
8542;Winterthur;2
8545;Winterthur;2
8483;Zell (ZH);3
8486;Zell (ZH);3
8487;Zell (ZH);3
8487;Zell (ZH);3
8904;Aesch (ZH);3
8142;Birmensdorf (ZH);3
8903;Birmensdorf (ZH);3
8953;Dietikon;2
8951;Geroldswil;3
8954;Geroldswil;3
8102;Oberengstringen;3
8955;Oetwil an der Limmat;3
8902;Schlieren;2
8952;Schlieren;2
8142;Uitikon;3
8143;Uitikon;3
8103;Unterengstringen;3
8951;Unterengstringen;3
8902;Urdorf;2
8104;Weiningen (ZH);3
8951;Weiningen (ZH);3
8001;Zürich;1
8002;Zürich;1
8003;Zürich;1
8004;Zürich;1
8005;Zürich;1
8006;Zürich;1
8008;Zürich;1
8032;Zürich;1
8037;Zürich;1
8038;Zürich;1
8041;Zürich;1
8044;Zürich;1
8045;Zürich;1
8046;Zürich;1
8047;Zürich;1
8048;Zürich;1
8049;Zürich;1
8050;Zürich;1
8051;Zürich;1
8052;Zürich;1
8053;Zürich;1
8055;Zürich;1
8057;Zürich;1
8064;Zürich;1
8125;Zürich;1
8134;Zürich;1
8142;Zürich;1
8143;Zürich;1
8152;Zürich;1
8952;Zürich;1
8450;Andelfingen;3
8452;Andelfingen;3
8457;Andelfingen;3
8468;Stammheim;3
8468;Stammheim;3
8476;Stammheim;3
8477;Stammheim;3
8525;Stammheim;3
8804;Wädenswil;2
8820;Wädenswil;2
8824;Wädenswil;2
8825;Wädenswil;2
8353;Elgg;3
8354;Elgg;3
8354;Elgg;3
8355;Elgg;3
8523;Elgg;3
6340;Horgen;2
8135;Horgen;2
8135;Horgen;2
8810;Horgen;2
8815;Horgen;2
8816;Horgen;2
8915;Horgen;2
8307;Illnau-Effretikon;3
8307;Illnau-Effretikon;3
8308;Illnau-Effretikon;3
8308;Illnau-Effretikon;3
8314;Illnau-Effretikon;3
8482;Illnau-Effretikon;3
8483;Illnau-Effretikon;3
8493;Bauma;3
8494;Bauma;3
8499;Bauma;3
8542;Wiesendangen;3
8543;Wiesendangen;3
8543;Wiesendangen;3
8543;Wiesendangen;3
8544;Wiesendangen;3
8546;Wiesendangen;3
3250;Aarberg;2
3267;Aarberg;2
3270;Aarberg;2
3273;Aarberg;2
3282;Bargen (BE);2
3283;Bargen (BE);2
3257;Grossaffoltern;2
3257;Grossaffoltern;2
3262;Grossaffoltern;2
3207;Kallnach;2
3226;Kallnach;2
3283;Kallnach;2
3283;Kallnach;2
3250;Kappelen;2
3252;Kappelen;2
3273;Kappelen;2
2557;Lyss;2
3250;Lyss;2
3292;Lyss;2
3042;Meikirch;2
3045;Meikirch;2
3046;Meikirch;2
3036;Radelfingen;2
3271;Radelfingen;2
3053;Rapperswil (BE);2
3251;Rapperswil (BE);2
3251;Rapperswil (BE);2
3254;Rapperswil (BE);2
3255;Rapperswil (BE);2
3256;Rapperswil (BE);2
3256;Rapperswil (BE);2
3256;Rapperswil (BE);2
3053;Schüpfen;2
3054;Schüpfen;2
3035;Seedorf (BE);2
3266;Seedorf (BE);2
3267;Seedorf (BE);2
3268;Seedorf (BE);2
3270;Seedorf (BE);2
4912;Aarwangen;3
4922;Aarwangen;3
4938;Auswil;3
4944;Auswil;3
4912;Bannwil;3
4913;Bannwil;3
3368;Bleienbach;3
4917;Busswil bei Melchnau;3
4955;Gondiswil;3
4900;Langenthal;3
4916;Langenthal;3
4924;Langenthal;3
3368;Lotzwil;3
4932;Lotzwil;3
4919;Madiswil;3
4932;Madiswil;3
4934;Madiswil;3
4935;Madiswil;3
4936;Madiswil;3
4917;Melchnau;3
6146;Melchnau;3
6147;Melchnau;3
4943;Oeschenbach;3
4919;Reisiswil;3
4914;Roggwil (BE);3
4938;Rohrbach;3
4938;Rohrbachgraben;3
4933;Rütschelen;3
4911;Schwarzhäusern;3
4922;Thunstetten;3
4922;Thunstetten;3
4936;Ursenbach;3
4937;Ursenbach;3
4942;Ursenbach;3
4943;Ursenbach;3
4923;Wynau;3
3004;Bern;1
3005;Bern;1
3006;Bern;1
3007;Bern;1
3008;Bern;1
3010;Bern;1
3011;Bern;1
3012;Bern;1
3013;Bern;1
3014;Bern;1
3015;Bern;1
3018;Bern;1
3019;Bern;1
3020;Bern;1
3027;Bern;1
3032;Bern;1
3037;Bern;1
3048;Bern;1
3063;Bern;1
3072;Bern;1
3073;Bern;1
3084;Bern;1
3097;Bern;1
3172;Bern;1
3065;Bolligen;1
3066;Bolligen;1
3326;Bolligen;1
3047;Bremgarten bei Bern;1
3037;Kirchlindach;1
3038;Kirchlindach;1
3042;Kirchlindach;1
3007;Köniz;1
3084;Köniz;1
3095;Köniz;1
3097;Köniz;1
3098;Köniz;1
3098;Köniz;1
3098;Köniz;1
3144;Köniz;1
3145;Köniz;1
3147;Köniz;1
3172;Köniz;1
3173;Köniz;1
3174;Köniz;1
3073;Muri bei Bern;1
3074;Muri bei Bern;1
3076;Muri bei Bern;1
3086;Oberbalm;1
3096;Oberbalm;1
3145;Oberbalm;1
3147;Oberbalm;1
3066;Stettlen;1
3067;Stettlen;1
3076;Stettlen;1
3066;Vechigen;1
3067;Vechigen;1
3068;Vechigen;1
3076;Vechigen;1
3513;Vechigen;1
3032;Wohlen bei Bern;1
3033;Wohlen bei Bern;1
3034;Wohlen bei Bern;1
3035;Wohlen bei Bern;1
3036;Wohlen bei Bern;1
3037;Wohlen bei Bern;1
3042;Wohlen bei Bern;1
3043;Wohlen bei Bern;1
3044;Wohlen bei Bern;1
3045;Wohlen bei Bern;1
3049;Wohlen bei Bern;1
3052;Zollikofen;1
3048;Ittigen;1
3063;Ittigen;1
3063;Ostermundigen;1
3065;Ostermundigen;1
3066;Ostermundigen;1
3072;Ostermundigen;1
3073;Ostermundigen;1
2502;Biel/Bienne;1
2503;Biel/Bienne;1
2504;Biel/Bienne;1
2505;Biel/Bienne;1
2532;Biel/Bienne;1
2532;Évilard;1
2533;Évilard;1
3296;Arch;2
2557;Büetigen;2
3263;Büetigen;2
3294;Büren an der Aare;2
3264;Diessbach bei Büren;2
3293;Dotzigen;2
3294;Dotzigen;2
2543;Lengnau (BE);2
3297;Leuzigen;2
3294;Meienried;2
2554;Meinisberg;2
3298;Oberwil bei Büren;2
2542;Pieterlen;2
3295;Rüti bei Büren;2
3251;Wengi;2
3257;Wengi;2
3426;Aefligen;2
3473;Alchenstorf;2
3323;Bäriswil;2
3400;Burgdorf;2
3413;Burgdorf;2
3414;Burgdorf;2
3472;Burgdorf;2
3422;Ersigen;2
3423;Ersigen;2
3424;Ersigen;2
